ID_FUNKTION_NEW,ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,FUNKTIONSBEZEICHNUNG,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
353_EINSITZ_1_FUNKTION_1,353_EINSITZ_1,353,Mayer_Georg_1894__,,,,,,,
356_EINSITZ_1_FUNKTION_1,356_EINSITZ_1,356,Baumann_Emil_1897__,,,,,,,
405_EINSITZ_1_FUNKTION_1,405_EINSITZ_1,405,Bohren_Alfred_1932__,,,,,,,
408_EINSITZ_1_FUNKTION_1,408_EINSITZ_1,408,Heussler_Fatima_1952__,,,,,,,
410_EINSITZ_1_FUNKTION_1,410_EINSITZ_1,410,Nipkow_Jürg_1946__,,,,,,,
419_EINSITZ_1_FUNKTION_1,419_EINSITZ_1,419,Strasser_Peter_1940__,,,,,,,
421_EINSITZ_1_FUNKTION_1,421_EINSITZ_1,421,Zogg_Walter_1934__,,,,,,,
427_EINSITZ_1_FUNKTION_1,427_EINSITZ_1,427,Frey_Walter_1898__,,,,,,,
428_EINSITZ_1_FUNKTION_1,428_EINSITZ_1,428,Kistler_Alois_1906__,,,,,,,
440_EINSITZ_1_FUNKTION_1,440_EINSITZ_1,440,Nehrwein_Fritz_1907__,,,,,,,
442_EINSITZ_1_FUNKTION_1,442_EINSITZ_1,442,Schärli_Alois_1911__,,,,,,,
445_EINSITZ_1_FUNKTION_1,445_EINSITZ_1,445,Heyden_Willy_1904__,,,,,,,
446_EINSITZ_1_FUNKTION_1,446_EINSITZ_1,446,Kläsi_Peter_1920__,,,,,,,
453_EINSITZ_1_FUNKTION_1,453_EINSITZ_1,453,Kappeler_Josef_1895__,,,,,,,
461_EINSITZ_1_FUNKTION_1,461_EINSITZ_1,461,Meier_Hermann_1897__,,,,,,,
465_EINSITZ_1_FUNKTION_1,465_EINSITZ_1,465,Zeller_Konrad_1897__,,,,,,,
467_EINSITZ_1_FUNKTION_1,467_EINSITZ_1,467,Keller_Theodor_1902__,,,,,,,
469_EINSITZ_1_FUNKTION_1,469_EINSITZ_1,469,Schguanin_Josef_1914__,,,,,,,
475_EINSITZ_1_FUNKTION_1,475_EINSITZ_1,475,Heyer_Albert_1909__,,,,,,,
477_EINSITZ_1_FUNKTION_1,477_EINSITZ_1,477,Inhelder_Heinrich_1891__,,,,,,,
479_EINSITZ_1_FUNKTION_1,479_EINSITZ_1,479,Peter_Otto_1880__,,,,,,,
486_EINSITZ_1_FUNKTION_1,486_EINSITZ_1,486,Wiesendanger_Paul_1869__,,,,,,,
487_EINSITZ_1_FUNKTION_1,487_EINSITZ_1,487,Zweifel_Heinrich_1904__,,,,,,,
561_EINSITZ_1_FUNKTION_1,561_EINSITZ_1,561,Sieg_Werner_1944__,,,,,,,
