ID_EINSITZ_NEW,ID_PERSON_NEW,ID_PERSON,RAT,DATUM_EINTRITT_TAG,DATUM_EINTRITT_MONAT,DATUM_EINTRITT_JAHR,DATUM_AUSTRITT_TAG,DATUM_AUSTRITT_MONAT,DATUM_AUSTRITT_JAHR,WAHLKREIS,QUELLEN,BEMERKUNGEN
183_EINSITZ_1,183,Bisang_Hans_1911__,Kantonsrat,30,04,1951,01,07,1957,2. Wahlkreis (Zürich 3+9),,Abgelöst von Brunner, Walter.
193_EINSITZ_1,193,Fegblé_Arnold_1910__,Kantonsrat,05,05,1947,12,12,1949,2. Wahlkreis (Zürich 3+9),,Abgelöst von Leutwyler, Adolf.
194_EINSITZ_1,194,Helbig_Hans_1900__,Kantonsrat,05,05,1947,04,12,1950,2. Wahlkreis (Zürich 3+9),,Abgelöst von Strub, Richard.
197_EINSITZ_1,197,Kolb_Eduard_1890__,Kantonsrat,03,05,1943,08,05,1955,2. Wahlkreis (Zürich 3+9),,
200_EINSITZ_1,200,Maurer_Adolf_1911__,Kantonsrat,05,05,1947,29,04,1951,2. Wahlkreis (Zürich 3+9),,
204_EINSITZ_1,204,Amrein_Robert_1905__,Kantonsrat,03,04,1939,04,05,1947,2. Wahlkreis (Zürich 3+9),,
205_EINSITZ_1,205,Bays_Emil_1914__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
206_EINSITZ_1,206,Eichmann_Eugen_1898__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
207_EINSITZ_1,207,Hüni_Emanuel_1894__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
212_EINSITZ_1,212,Steuri_Fritz_1901__,Kantonsrat,03,05,1943,04,05,1947,2. Wahlkreis (Zürich 3+9),,
299_EINSITZ_1,299,Federer_Markus_1955__,Kantonsrat,06,05,1991,07,05,1995,3. Wahlkreis (Zürich 4+5),,
300_EINSITZ_1,300,Hofmann_Heidi_1951__,Kantonsrat,30,04,1979,21,06,1993,3. Wahlkreis (Zürich 4+5),,Abgelöst von Katzenstein, Annegret.
303_EINSITZ_1,303,Schwyn_Christine_1963__,Kantonsrat,06,05,1991,07,05,1995,3. Wahlkreis (Zürich 4+5),,
304_EINSITZ_1,304,Volkart_Willy_1942__,Kantonsrat,26,05,1975,07,05,1995,3. Wahlkreis (Zürich 4+5),,
306_EINSITZ_1,306,Singer_Otto_1936__,Kantonsrat,30,04,1979,05,05,1991,3. Wahlkreis (Zürich 4+5),,
307_EINSITZ_1,307,Scherr_Niklaus_1944__,Kantonsrat,30,05,1983,22,08,1983,3. Wahlkreis (Zürich 4+5),,Abgelöst von Dettwiler, Martin.
309_EINSITZ_1,309,Hagenmüller_Eberhard_1924__,Kantonsrat,30,04,1979,29,05,1983,3. Wahlkreis (Zürich 4+5),,
310_EINSITZ_1,310,Ronner_Otto_1925__,Kantonsrat,24,05,1971,29,05,1983,3. Wahlkreis (Zürich 4+5),,
311_EINSITZ_1,311,Urfer_Werner_1919__,Kantonsrat,30,04,1979,29,05,1983,3. Wahlkreis (Zürich 4+5),,
312_EINSITZ_1,312,Eicher_Ernst_1910__,Kantonsrat,27,04,1959,29,04,1979,3. Wahlkreis (Zürich 4+5),,
313_EINSITZ_1,313,Gujer_Hans_1915__,Kantonsrat,27,05,1963,29,04,1979,3. Wahlkreis (Zürich 4+5),,
314_EINSITZ_1,314,Sansonnens_Jean_1930__,Kantonsrat,24,05,1971,29,04,1979,3. Wahlkreis (Zürich 4+5),,
316_EINSITZ_1,316,Winiger_Alois_1911__,Kantonsrat,24,05,1971,29,04,1979,3. Wahlkreis (Zürich 4+5),,
319_EINSITZ_1,319,Murbach_Gottfried_1913__,Kantonsrat,27,04,1959,23,05,1971,3. Wahlkreis (Zürich 4+5),,
321_EINSITZ_1,321,Rellstab_Fred_1911__,Kantonsrat,08,05,1967,23,05,1971,3. Wahlkreis (Zürich 4+5),,
323_EINSITZ_1,323,Schuler_Karl_1924__,Kantonsrat,08,05,1967,21,10,1968,3. Wahlkreis (Zürich 4+5),,Abgelöst von Nützi, Hugo.
325_EINSITZ_1,325,Kälin_Adelrich_1928__,Kantonsrat,27,05,1963,07,05,1967,3. Wahlkreis (Zürich 4+5),,
328_EINSITZ_1,328,Wild_Rudolf_1912__,Kantonsrat,09,05,1955,07,05,1967,3. Wahlkreis (Zürich 4+5),,
333_EINSITZ_1,333,Winiger_August_1893__,Kantonsrat,03,04,1939,26,05,1963,3. Wahlkreis (Zürich 4+5),,
335_EINSITZ_1,335,Zürn_Gustav_1899__,Kantonsrat,09,05,1955,26,05,1963,3. Wahlkreis (Zürich 4+5),,
337_EINSITZ_1,337,Haindl_Willy_1908__,Kantonsrat,05,05,1947,26,04,1959,3. Wahlkreis (Zürich 4+5),,
340_EINSITZ_1,340,Kleck_Kurt_1918__,Kantonsrat,30,04,1951,08,05,1955,3. Wahlkreis (Zürich 4+5),,
343_EINSITZ_1,343,Grüebler_Heinrich_1897__,Kantonsrat,05,05,1947,22,05,1950,3. Wahlkreis (Zürich 4+5),,Abgelöst von Seliner, Emil.
344_EINSITZ_1,344,Huber_Emil_1915__,Kantonsrat,05,05,1947,29,04,1951,3. Wahlkreis (Zürich 4+5),,
345_EINSITZ_1,345,Huber_Ernst_1903__,Kantonsrat,03,05,1943,01,12,1947,3. Wahlkreis (Zürich 4+5),,Abgelöst von Vollenweider, Walter.
347_EINSITZ_1,347,Messmer_Jakob_1906__,Kantonsrat,05,05,1947,29,04,1951,3. Wahlkreis (Zürich 4+5),,
349_EINSITZ_1,349,Disler_Hans_1897__,Kantonsrat,03,05,1943,04,05,1947,3. Wahlkreis (Zürich 4+5),,
350_EINSITZ_1,350,Greminger_Walter_1917__,Kantonsrat,03,05,1943,04,05,1947,3. Wahlkreis (Zürich 4+5),,
351_EINSITZ_1,351,Hauser_Ferdinand_1910__,Kantonsrat,29,04,1935,04,05,1947,3. Wahlkreis (Zürich 4+5),,
353_EINSITZ_1,353,Mayer_Georg_1894__,Kantonsrat,03,04,1939,04,05,1947,3. Wahlkreis (Zürich 4+5),,
356_EINSITZ_1,356,Baumann_Emil_1897__,Kantonsrat,03,04,1939,02,05,1943,3. Wahlkreis (Zürich 4+5),,
400_EINSITZ_1,400,Killias_Anton_G._1930__,Kantonsrat,26,05,1975,17,08,1992,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Dürr, Lucius.
405_EINSITZ_1,405,Bohren_Alfred_1932__,Kantonsrat,26,05,1975,05,05,1991,4. Wahlkreis (Zürich 6 + 10),,
408_EINSITZ_1,408,Heussler_Fatima_1952__,Kantonsrat,04,05,1987,05,05,1991,4. Wahlkreis (Zürich 6 + 10),,
410_EINSITZ_1,410,Nipkow_Jürg_1946__,Kantonsrat,04,05,1987,05,05,1991,4. Wahlkreis (Zürich 6 + 10),,
416_EINSITZ_1,416,Duft_Peter_1941__,Kantonsrat,26,05,1975,03,05,1987,4. Wahlkreis (Zürich 6 + 10),,
419_EINSITZ_1,419,Strasser_Peter_1940__,Kantonsrat,26,05,1975,31,03,1980,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Gassmann, Arthur.
421_EINSITZ_1,421,Zogg_Walter_1934__,Kantonsrat,26,05,1975,17,11,1980,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Guler, Agnes.
424_EINSITZ_1,424,Reimann_Ernst_1920__,Kantonsrat,24,05,1971,09,10,1978,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Krämer, Rolf.
427_EINSITZ_1,427,Frey_Walter_1898__,Kantonsrat,24,05,1971,25,05,1975,4. Wahlkreis (Zürich 6 + 10),,
428_EINSITZ_1,428,Kistler_Alois_1906__,Kantonsrat,24,05,1971,25,05,1975,4. Wahlkreis (Zürich 6 + 10),,
439_EINSITZ_1,439,Meisser_Hans_1911__,Kantonsrat,08,05,1967,23,05,1971,4. Wahlkreis (Zürich 6 + 10),,
440_EINSITZ_1,440,Nehrwein_Fritz_1907__,Kantonsrat,09,05,1955,23,05,1971,4. Wahlkreis (Zürich 6 + 10),,
441_EINSITZ_1,441,Nüssli_Hans_1910__,Kantonsrat,30,04,1951,23,05,1971,4. Wahlkreis (Zürich 6 + 10),,
442_EINSITZ_1,442,Schärli_Alois_1911__,Kantonsrat,27,05,1963,23,05,1971,4. Wahlkreis (Zürich 6 + 10),,
443_EINSITZ_1,443,Schefer_Hans_1914__,Kantonsrat,08,05,1967,10,06,1968,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Witta, Eduard.
444_EINSITZ_1,444,Duttweiler_Hans_1902__,Kantonsrat,29,04,1935,07,05,1967,4. Wahlkreis (Zürich 6 + 10),,
445_EINSITZ_1,445,Heyden_Willy_1904__,Kantonsrat,27,05,1963,09,09,1963,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Maurer, Jakob, Prof. Dr.
446_EINSITZ_1,446,Kläsi_Peter_1920__,Kantonsrat,27,05,1963,18,04,1966,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Wydler, Werner.
450_EINSITZ_1,450,Zellweger_Fritz_1896__,Kantonsrat,30,04,1951,07,05,1967,4. Wahlkreis (Zürich 6 + 10),,
453_EINSITZ_1,453,Kappeler_Josef_1895__,Kantonsrat,09,05,1955,26,05,1963,4. Wahlkreis (Zürich 6 + 10),,
457_EINSITZ_1,457,Schoch_Max_1890__,Kantonsrat,05,05,1947,26,05,1963,4. Wahlkreis (Zürich 6 + 10),,
461_EINSITZ_1,461,Meier_Hermann_1897__,Kantonsrat,09,05,1955,26,04,1959,4. Wahlkreis (Zürich 6 + 10),,
462_EINSITZ_1,462,Notz_Hans_1902__,Kantonsrat,03,04,1939,13,01,1958,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Schiesser, Heinrich, Dr.
465_EINSITZ_1,465,Zeller_Konrad_1897__,Kantonsrat,30,04,1951,10,09,1956,4. Wahlkreis (Zürich 6 + 10),,Abgelöst von Schmid, Ernst.
467_EINSITZ_1,467,Keller_Theodor_1902__,Kantonsrat,15,03,1948,31,08,1953,4. Wahlkreis (Zürich 6 + 10),,Nachfoler von Storrer, Hans. Abgelöst von Leemann, Ernst.
