ID_BUERGERORT_NEW,ID_PERSON_NEW,ID_PERSON,ORT,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
487_BUERGERORT_1,487,Zweifel_Heinrich_1904__,,,,,,,
561_BUERGERORT_1,561,Sieg_Werner_1944__,,,,,,,
569_BUERGERORT_1,569,Vontobel_Jürg_P._1939__,,,,,,,
575_BUERGERORT_1,575,Wintsch_Hans-Ulrich_1932__,,,,,,,
580_BUERGERORT_1,580,Tanner_Paul_1919__,,,,,,,
581_BUERGERORT_1,581,Walder_Hans_Ulrich_1929__,,,,,,,
584_BUERGERORT_1,584,Grossmann_Marcel_1904__,,,,,,,
586_BUERGERORT_1,586,Mettler_Hans_1897__,,,,,,,
587_BUERGERORT_1,587,Meyer_Rolf_1910__,,,,,,,
588_BUERGERORT_1,588,Pesch_Fritz_1905__,,,,,,,
599_BUERGERORT_1,599,Breny_Walter_1898__,,,,,,,
611_BUERGERORT_1,611,Wolff_Max_1893__,,,,,,,
612_BUERGERORT_1,612,Attinger_Albert_1902__,,,,,,,
613_BUERGERORT_1,613,Eberhard_Johann_1888__,,,,,,,
615_BUERGERORT_1,615,Stalder_Arthur_1898__,,,,,,,
624_BUERGERORT_1,624,Ehrsam_Armin_1880__,,,,,,,
642_BUERGERORT_1,642,Büchi_Ernst_1928__,,,,,,,
643_BUERGERORT_1,643,Gerber_Rolf_1952__,,,,,,,
656_BUERGERORT_1,656,Diethelm_Michael_1962__,,,,,,,
659_BUERGERORT_1,659,Stadler_Xaver_1933__,,,,,,,
660_BUERGERORT_1,660,Steiner_Bruno_1948__,,,,,,,
662_BUERGERORT_1,662,Baumann_Otto_1936__,,,,,,,
680_BUERGERORT_1,680,Staubli_Walter_1917__,,,,,,,
687_BUERGERORT_1,687,Kindermann_Hans_1901__,,,,,,,
691_BUERGERORT_1,691,Buri_Ernst_1910__,,,,,,,
694_BUERGERORT_1,694,Schmid_Benno_1934__,,,,,,,
695_BUERGERORT_1,695,Siegfried_Otto_1916__,,,,,,,
700_BUERGERORT_1,700,Theus_Sigisbert_1908__,,,,,,,
701_BUERGERORT_1,701,Kunz_Erwin_1910__,,,,,,,
703_BUERGERORT_1,703,Bertschi_Albert_1908__,,,,,,,
708_BUERGERORT_1,708,Hess_Hermann_1905__,,,,,,,
709_BUERGERORT_1,709,Ochsner_Jakob_Karl_1900__,,,,,,,
710_BUERGERORT_1,710,Marty_Josef_1894__,,,,,,,
711_BUERGERORT_1,711,Friedländer_Albert_1886__,,,,,,,
715_BUERGERORT_1,715,Voser_Emil_1873__,,,,,,,
756_BUERGERORT_1,756,Dörig_Werner_A._1945__,,,,,,,
757_BUERGERORT_1,757,Frech_Theresa_1938__,,,,,,,
758_BUERGERORT_1,758,Hünig_Markus_1946__,,,,,,,
759_BUERGERORT_1,759,Rohrer_Thomas_1959__,,,,,,,
761_BUERGERORT_1,761,Wehrli_Martin_1931__,,,,,,,
767_BUERGERORT_1,767,Seyfang_Kurt_1933__,,,,,,,
769_BUERGERORT_1,769,Mazzolini_Virginio_1917__,,,,,,,
770_BUERGERORT_1,770,Walser_Peter_1934__,,,,,,,
772_BUERGERORT_1,772,Zollinger_Hanskaspar_1937__,,,,,,,
773_BUERGERORT_1,773,Brunner_Paul_1924__,,,,,,,
775_BUERGERORT_1,775,Ingold_Hans_1923__,,,,,,,
778_BUERGERORT_1,778,Frei_Hans_1924__,,,,,,,
779_BUERGERORT_1,779,Jucker_Rolf_1929__,,,,,,,
782_BUERGERORT_1,782,Stocker_Josef_1913__,,,,,,,
783_BUERGERORT_1,783,Senn_Julius_1924__,,,,,,,
784_BUERGERORT_1,784,Wiederkehr_Lorenz_1897__,,,,,,,
786_BUERGERORT_1,786,Keller_Hansjakob_1894__,,,,,,,
787_BUERGERORT_1,787,Koch_Josef_1906__,,,,,,,
789_BUERGERORT_1,789,Loosli_Johann_1891__,,,,,,,
793_BUERGERORT_1,793,Fischer_Ernst_1902__,,,,,,,
794_BUERGERORT_1,794,Müller_Max_1889__,,,,,,,
795_BUERGERORT_1,795,Obrist_Emil_1907__,,,,,,,
796_BUERGERORT_1,796,Gurtner_Walter_1898__,,,,,,,
823_BUERGERORT_1,823,Haegi_Hans-Rudolf_1938__,,,,,,,
824_BUERGERORT_1,824,Huber-Berninger_Margit_1939__,,,,,,,
826_BUERGERORT_1,826,Schneebeli_Otto_1929__,,,,,,,
827_BUERGERORT_1,827,Lenzlinger_Martin_1937__,,,,,,,
829_BUERGERORT_1,829,Nägeli_Hans_1921__,,,,,,,
834_BUERGERORT_1,834,Häberling_Otto_1901__,,,,,,,
835_BUERGERORT_1,835,Bögli_Willi_1908__,,,,,,,
837_BUERGERORT_1,837,Schwarzenbach_Ulrich_1905__,,,,,,,
838_BUERGERORT_1,838,Huber_Edwin_1897__,,,,,,,
839_BUERGERORT_1,839,Gallmann_Robert_1895__,,,,,,,
840_BUERGERORT_1,840,Häberling_Ernst_1890__,,,,,,,
912_BUERGERORT_1,912,Gerster_Richard_1946__,,,,,,,
915_BUERGERORT_1,915,Henauer_Robert_1941__,,,,,,,
928_BUERGERORT_1,928,Kuster_Norbert_1936__,,,,,,,
929_BUERGERORT_1,929,Maurer-Gröli_Yvonne_1943__,,,,,,,
930_BUERGERORT_1,930,Zurbuchen_Walter_P._1935__,,,,,,,
934_BUERGERORT_1,934,Rimann_Bernhard_1941__,,,,,,,
946_BUERGERORT_1,946,Heusser_Hans_1922__,,,,,,,
947_BUERGERORT_1,947,Keller_Josef_1922__,,,,,,,
949_BUERGERORT_1,949,Stieger_Adrian_1953__,,,,,,,
951_BUERGERORT_1,951,Bosshard_Hans_1923__,,,,,,,
952_BUERGERORT_1,952,Erni_Werner_1908__,,,,,,,
954_BUERGERORT_1,954,Jäger_Peter_1920__,,,,,,,
955_BUERGERORT_1,955,Schlapbach_Johann_1900__,,,,,,,
958_BUERGERORT_1,958,Biber_Max_1923__,,,,,,,
960_BUERGERORT_1,960,Grob_Paul_1919__,,,,,,,
964_BUERGERORT_1,964,Bopp_Jacques_1902__,,,,,,,
974_BUERGERORT_1,974,Sorg_Arnold_1906__,,,,,,,
975_BUERGERORT_1,975,Stösser_Josef_1913__,,,,,,,
976_BUERGERORT_1,976,Fürst_Hans_1902__,,,,,,,
979_BUERGERORT_1,979,Gunzenhauser_Ernst_1914__,,,,,,,
980_BUERGERORT_1,980,Hegetschweiler_Walter_1914__,,,,,,,
982_BUERGERORT_1,982,Boos_Ernst_1901__,,,,,,,
984_BUERGERORT_1,984,Kern_Walter_1888__,,,,,,,
985_BUERGERORT_1,985,Weber_Hans_1907__,,,,,,,
989_BUERGERORT_1,989,Haab_Hermann_1893__,,,,,,,
995_BUERGERORT_1,995,Hauser-Schwarzenbach_Emil_1886__,,,,,,,
996_BUERGERORT_1,996,Joss_Florin_1891__,,,,,,,
997_BUERGERORT_1,997,Zwald_Karl_1875__,,,,,,,
998_BUERGERORT_1,998,Bebie_Walter_1892__,,,,,,,
1004_BUERGERORT_1,1004,Berchtold_Hugo_1887__,,,,,,,
1125_BUERGERORT_1,1125,Amberg_Konrad_1931__,,,,,,,
1153_BUERGERORT_1,1153,Bachofner_Jakob_1909__,,,,,,,
1160_BUERGERORT_1,1160,Keller_Rodolfo_1940__,,,,,,,
1168_BUERGERORT_1,1168,Pescatore_Antoine_1926__,,,,,,,
1181_BUERGERORT_1,1181,Pfenninger_Werner_1927__,,,,,,,
1182_BUERGERORT_1,1182,Pfenninger_Ernst_1919__,,,,,,,
1183_BUERGERORT_1,1183,Jucker_Ernst_1933__,,,,,,,
1184_BUERGERORT_1,1184,Bosshard_Ernst_1904__,,,,,,,
