ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
9249_BINDUNG_1,9249,Schafroth_Ernst_1874__,,,,,,,,
9251_BINDUNG_1,9251,Oetiker_Albert_1873__,,,,,,,,
9256_BINDUNG_1,9256,Hafner_Fritz_1860__,,,,,,,,
9258_BINDUNG_1,9258,Meier_Heinrich_1867__,,,,,,,,
9259_BINDUNG_1,9259,Wegmann_Emil_1856__,,,,,,,,
9264_BINDUNG_1,9264,Kruck_Gustav_1875_01_01,Polit. Amt,Grosser Stadtrat Zürich,,,1908,,,1917
9264_BINDUNG_2,9264,Kruck_Gustav_1875_01_01,Polit. Amt,Stadtrat Zürich,,,1917,,,
9266_BINDUNG_1,9266,Kern_Hans_1876__,Polit. Amt,Grosser Stadtrat Zürich,,,1893,,,1913
9274_BINDUNG_1,9274,Lang_Viktor_1885__,,,,,,,,
9275_BINDUNG_1,9275,Meier_Karl___,,,,,,,,
9289_BINDUNG_1,9289,Hürlimann_Jakob_1852__,,,,,,,,
9290_BINDUNG_1,9290,Fierz_Gottfried_1853__,,,,,,,,
9294_BINDUNG_1,9294,Wettstein-Bosshard_Albert_1856__,,,,,,,,
9302_BINDUNG_1,9302,Pfister_Rudolf_1872__,,,,,,,,
9306_BINDUNG_1,9306,Weinmann_Johannes_1848__,,,,,,,,
9308_BINDUNG_1,9308,Egli-Hitz_Jakob_1853__,,,,,,,,
9320_BINDUNG_1,9320,Müller_Wilhelm_1860__,,,,,,,,
9322_BINDUNG_1,9322,Schärer-Nussbaumer_Jakob_1872__,,,,,,,,
9323_BINDUNG_1,9323,Elliker_Gottfried_1870__,,,,,,,,
9328_BINDUNG_1,9328,Strickler_Gustav_1859__,,,,,,,,
9336_BINDUNG_1,9336,Kunz-Ryf_Hans_1867__,,,,,,,,
9339_BINDUNG_1,9339,Hess_Hermann_1864__,,,,,,,,
